id	filename	md5	size	state
7807aa64-82ef-49ae-aa40-80446c0b7eaa	7807aa64-82ef-49ae-aa40-80446c0b7eaa/069cd6ce-669f-4447-808b-80bba4f104d4.mirnaseq.mirnas.quantification.txt	4391470106ea95e5f04f81d32a553b44	49493	validated
7721eb06-65f8-4034-af2c-4a3431b6407a	7721eb06-65f8-4034-af2c-4a3431b6407a/28364e58-6ec6-43f2-8bff-781f1804c82f.mirnaseq.mirnas.quantification.txt	20be306a3f1242c09da29c9f16a8413d	49396	validated
a858f042-8946-4dbf-b62f-68600f3a898c	a858f042-8946-4dbf-b62f-68600f3a898c/9d5e15d7-9d88-46cf-ac46-ea3c06696637.mirnaseq.mirnas.quantification.txt	97bee686d0e55dfb080f16826889b090	49277	validated
a99d0f2b-de37-4a52-ba99-dc874ab3ecea	a99d0f2b-de37-4a52-ba99-dc874ab3ecea/36ceca43-cbb7-4f69-813a-841a072a06a7.mirnaseq.mirnas.quantification.txt	6b6663596f978751c7e1d7cfda65175a	49527	validated
79416a9d-71b7-4d4d-ba47-f5666aa1ba0a	79416a9d-71b7-4d4d-ba47-f5666aa1ba0a/3e57cb91-d31c-46f9-b3ff-6918a4fb9c13.mirnaseq.mirnas.quantification.txt	d12a624b15782e9db704bbdba5b9c25f	49584	validated
a89a2bdd-a7df-4fe5-ac20-e82f1058eb0b	a89a2bdd-a7df-4fe5-ac20-e82f1058eb0b/ba754ddd-5708-4f93-8e1a-deb279a6ae06.mirnaseq.mirnas.quantification.txt	98c51969a4ea5705f281a4170de91ebf	49385	validated
c5e2a757-f3b4-4159-9953-e8e0bf3c7ad8	c5e2a757-f3b4-4159-9953-e8e0bf3c7ad8/ae3ae33d-719d-45a0-828a-4068b1b91f1e.mirnaseq.mirnas.quantification.txt	923e4ae2d44ffaa1eb83e54c0d57ef35	49310	validated
7ab93a52-8331-47c9-b178-fde696681c38	7ab93a52-8331-47c9-b178-fde696681c38/304b0090-3ae3-413e-adb6-fb424aa66f08.mirnaseq.mirnas.quantification.txt	e3e6448f005c2575f341c8c8ac8cc168	49581	validated
79ceaa91-971a-452c-b98b-797828a0534a	79ceaa91-971a-452c-b98b-797828a0534a/7f6cfce9-1bd5-4602-8694-ab734b022f39.mirnaseq.mirnas.quantification.txt	17716f9cd401426dbb023ceef3778a75	49313	validated
a22f1f43-b7ba-4a79-8426-57c425fa9a2c	a22f1f43-b7ba-4a79-8426-57c425fa9a2c/b7d644b4-88bf-4d82-aa8f-9484e0ed9129.mirnaseq.mirnas.quantification.txt	bab3435f504d4da64d47279cda41a691	49520	validated
7ba55cec-f688-475a-bc2d-31d1184df7cd	7ba55cec-f688-475a-bc2d-31d1184df7cd/90d9acd5-c239-4e00-9b85-a667ceef1cb5.mirnaseq.mirnas.quantification.txt	f4e836ddc7ce0e09791c915a5b73637d	49303	validated
ad5f28d0-d519-403a-a6c3-ff4ae7965612	ad5f28d0-d519-403a-a6c3-ff4ae7965612/9040d8b4-d39d-44a6-8b1a-d74249757966.mirnaseq.mirnas.quantification.txt	5aa29eb6f65bc7e7d22474bf40f4fc66	49481	validated
ad6b821f-127f-4dec-b7fa-0a4048e9aa4f	ad6b821f-127f-4dec-b7fa-0a4048e9aa4f/3cf56cac-004d-4beb-aeea-3a75cc880e2c.mirnaseq.mirnas.quantification.txt	ee61b49818043c1954ba29a3ec9df5b0	49582	validated
a2afc307-4a14-426b-b181-457b6ea5822c	a2afc307-4a14-426b-b181-457b6ea5822c/2c8b205a-2868-47da-9733-3d1a00c88f4a.mirnaseq.mirnas.quantification.txt	d6ec49feaffa7102a99d1ef75a178394	49286	validated
afd7ef0c-7c96-4ccb-adb5-6da67bfcb822	afd7ef0c-7c96-4ccb-adb5-6da67bfcb822/9450f072-0ca3-4e4f-b07b-c7715bb53ee6.mirnaseq.mirnas.quantification.txt	3394d3cc105149461208739d3e6bcb94	49313	validated
b0931be6-a042-4b65-b4e7-c124a2056a85	b0931be6-a042-4b65-b4e7-c124a2056a85/e0b7f8a0-f998-4b31-8ead-e420c350d01a.mirnaseq.mirnas.quantification.txt	64fab491f3cf5075f2701315dfb63f4d	49478	validated
ad775480-ab90-4d38-afa3-bf4414fbbd6d	ad775480-ab90-4d38-afa3-bf4414fbbd6d/314175b9-f4d6-405b-bf87-07c497839fd0.mirnaseq.mirnas.quantification.txt	9206fcfc64689504ed884c5b1ba2172b	49281	validated
b195602d-cbac-4961-94a4-58eb5595188b	b195602d-cbac-4961-94a4-58eb5595188b/0b3400ff-406b-4838-b131-8e3d6fe683c8.mirnaseq.mirnas.quantification.txt	f4a0965070fe07e7224295a371a39808	49304	validated
